ID,Team1,Team2
501253,CSK,DD
501252,RR,RCB
501250,DC,PW
501251,KXIP,MI
501249,RR,CSK
501247,RCB,KTK
501248,KXIP,PW
501245,KKR,CSK
501246,MI,DD
501244,RCB,KXIP
501242,KTK,KKR
501243,DC,DD
501240,CSK,RR
501241,PW,MI
501239,DC,KKR
501237,MI,KXIP
501238,DD,KTK
501235,RR,PW
501236,CSK,DC
501233,KTK,DD
501234,KKR,KXIP
501231,RR,MI
501232,RCB,PW
501230,DD,KKR
501228,PW,CSK
501229,KTK,DC
501227,DD,RCB
501226,CSK,PW
501224,DC,MI
501225,RR,KTK
501223,DD,KXIP
501221,MI,CSK
501222,KKR,RCB
501220,KXIP,RR
501218,MI,PW
501219,KKR,KTK
501216,DD,DC
501215,KTK,CSK
501213,PW,DD
501214,KKR,RR
501211,CSK,RCB
501212,DC,KXIP
501209,RR,KKR
501210,MI,KTK
501208,DC,RCB
501206,KXIP,CSK
501207,PW,KTK
501204,RR,DD
501205,RCB,MI
501203,KKR,DC
501201,DD,MI
501202,PW,KXIP
501199,DC,RR
501200,KTK,RCB
501198,CSK,KKR
419165,CSK,MI
419164,RCB,DC
419163,CSK,DC
419162,RCB,MI
419161,KKR,MI
419159,KXIP,CSK
419160,DD,DC
419157,RCB,MI
419158,KKR,RR
419156,KXIP,DC
419155,CSK,DD
419154,RR,RCB
419152,MI,DD
419153,CSK,KKR
419151,DC,RCB
419149,DD,KXIP
419150,RR,MI
419147,DC,CSK
419148,RCB,KKR
419146,KXIP,MI
419145,RCB,DC
419143,RR,KXIP
419144,KKR,DD
419142,CSK,MI
419141,DC,RR
419139,KKR,KXIP
419140,DD,RCB
419137,CSK,RR
419138,MI,DC
419136,KXIP,RCB
419135,KKR,DC
419133,CSK,RCB
419134,DD,RR
419132,MI,KXIP
419131,DD,KKR
419129,RR,CSK
419130,DC,MI
419127,KXIP,KKR
419126,RR,DC
419125,MI,CSK
419128,RCB,DD
419124,KXIP,RR
419123,RCB,CSK
419122,MI,KKR
419120,DC,DD
419121,CSK,KXIP
419118,RR,KKR
419119,MI,RCB
419116,DD,CSK
419117,DC,KXIP
419115,RCB,RR
419114,DD,MI
419112,RCB,KXIP
419113,KKR,CSK
419111,RR,DD
419109,KKR,RCB
419110,CSK,DC
419107,MI,RR
419108,KXIP,DD
419106,DC,KKR
392239,RCB,DC
392238,RCB,CSK
392237,DD,DC
392235,DD,MI
392236,RCB,DC
392233,KKR,RR
392234,CSK,KXIP
392232,RCB,DD
392231,CSK,KKR
392229,DC,KXIP
392230,DD,RR
392227,CSK,MI
392228,DC,KKR
392226,DD,KXIP
392224,RCB,CSK
392225,MI,RR
392223,DC,DD
392221,RCB,KKR
392222,KXIP,MI
392220,DC,RR
392218,RCB,MI
392219,DD,KKR
392216,DC,KXIP
392217,CSK,RR
392215,DD,MI
392213,RCB,RR
392214,CSK,KXIP
392212,DC,MI
392210,KXIP,RR
392211,DD,KKR
392209,CSK,DC
392207,KXIP,KKR
392208,RCB,MI
392205,DC,RR
392206,CSK,DD
392203,KKR,MI
392204,RCB,KXIP
392201,DC,DD
392202,CSK,RR
392199,RCB,KKR
392200,KXIP,MI
392198,DD,RR
392196,CSK,DC
392197,KKR,MI
392194,RCB,DD
392195,KXIP,RR
392192,DC,MI
392191,RCB,KXIP
392189,CSK,DD
392190,KKR,RR
392188,RCB,DC
392186,KXIP,KKR
392185,RCB,CSK
392183,DD,KXIP
392184,DC,KKR
392181,CSK,MI
392182,RCB,RR
336040,CSK,RR
336039,CSK,KXIP
336038,DD,RR
336012,RCB,MI
336019,KXIP,RR
336037,DC,CSK
336036,RR,MI
336002,DC,RCB
336035,KKR,KXIP
336032,DD,MI
336033,CSK,RR
336031,KXIP,DC
336028,MI,KXIP
336029,CSK,RCB
336027,KKR,RR
336026,RCB,DD
336024,DC,MI
336025,KKR,CSK
336022,DD,KXIP
336023,RR,RCB
336021,MI,KKR
336020,DD,DC
336018,MI,CSK
336017,KKR,DD
336016,KXIP,RCB
336014,DC,KKR
336015,RR,DD
336013,CSK,KXIP
336011,RR,DC
336009,DD,CSK
336010,KKR,RCB
336008,MI,RR
336007,CSK,DC
336006,RCB,KXIP
336004,MI,DD
336005,RR,CSK
336003,KXIP,KKR
336034,RCB,DC
336001,CSK,DD
335999,DC,KXIP
336000,RR,KKR
335998,DD,RCB
335997,KKR,MI
335996,RCB,CSK
335994,MI,DC
335995,KXIP,DD
335992,RCB,RR
335993,CSK,KKR
335991,KXIP,MI
335990,DC,RR
335989,CSK,MI
335988,DC,DD
335987,RR,KXIP
335985,MI,RCB
335986,KKR,DC
335983,KXIP,CSK
335984,DD,RR
335982,RCB,KKR
